Business type,Location,Area,Priority,Site Pounce search term,Who,Status,Leads found,Notes
Aesthetics / skin clinics,Ilford,Proven,Target,aesthetics clinic in Ilford,,To do,,
Aesthetics / skin clinics,Smethwick,Proven,Target,aesthetics clinic in Smethwick,,To do,,
Aesthetics / skin clinics,Solihull,Proven,Target,aesthetics clinic in Solihull,,To do,,
Aesthetics / skin clinics,Southall,Proven,Target,aesthetics clinic in Southall,,To do,,
Barbers,Ilford,Proven,Target,barber in Ilford,,To do,,
Barbers,Smethwick,Proven,Target,barber in Smethwick,,To do,,
Barbers,Solihull,Proven,Target,barber in Solihull,,To do,,
Barbers,Southall,Proven,Target,barber in Southall,,To do,,
Beauty salons,Ilford,Proven,Target,beauty salon in Ilford,,To do,,
Beauty salons,Smethwick,Proven,Target,beauty salon in Smethwick,,To do,,
Beauty salons,Solihull,Proven,Target,beauty salon in Solihull,,To do,,
Beauty salons,Southall,Proven,Target,beauty salon in Southall,,To do,,
Hair salons,Ilford,Proven,Target,hair salon in Ilford,,To do,,
Hair salons,Smethwick,Proven,Target,hair salon in Smethwick,,To do,,
Hair salons,Solihull,Proven,Target,hair salon in Solihull,,To do,,
Hair salons,Southall,Proven,Target,hair salon in Southall,,To do,,
Holistic / massage / therapy,Ilford,Proven,Target,massage therapist in Ilford,,To do,,
Holistic / massage / therapy,Smethwick,Proven,Target,massage therapist in Smethwick,,To do,,
Holistic / massage / therapy,Solihull,Proven,Target,massage therapist in Solihull,,To do,,
Holistic / massage / therapy,Southall,Proven,Target,massage therapist in Southall,,To do,,
Lashes & brows,Ilford,Proven,Target,eyelash technician in Ilford,,To do,,
Lashes & brows,Smethwick,Proven,Target,eyelash technician in Smethwick,,To do,,
Lashes & brows,Solihull,Proven,Target,eyelash technician in Solihull,,To do,,
Lashes & brows,Southall,Proven,Target,eyelash technician in Southall,,To do,,
Nail bars,Ilford,Proven,Target,nail salon in Ilford,,To do,,
Nail bars,Smethwick,Proven,Target,nail salon in Smethwick,,To do,,
Nail bars,Solihull,Proven,Target,nail salon in Solihull,,To do,,
Nail bars,Southall,Proven,Target,nail salon in Southall,,To do,,
Tanning salons,Ilford,Proven,Target,tanning salon in Ilford,,To do,,
Tanning salons,Smethwick,Proven,Target,tanning salon in Smethwick,,To do,,
Tanning salons,Solihull,Proven,Target,tanning salon in Solihull,,To do,,
Tanning salons,Southall,Proven,Target,tanning salon in Southall,,To do,,
Aesthetics / skin clinics,Bradford,New,Target,aesthetics clinic in Bradford,,To do,,
Aesthetics / skin clinics,Bristol,New,Target,aesthetics clinic in Bristol,,To do,,
Aesthetics / skin clinics,Coventry,New,Target,aesthetics clinic in Coventry,,To do,,
Aesthetics / skin clinics,Croydon,New,Target,aesthetics clinic in Croydon,,To do,,
Aesthetics / skin clinics,Derby,New,Target,aesthetics clinic in Derby,,To do,,
Aesthetics / skin clinics,Enfield,New,Target,aesthetics clinic in Enfield,,To do,,
Aesthetics / skin clinics,Harrow,New,Target,aesthetics clinic in Harrow,,To do,,
Aesthetics / skin clinics,Leeds,New,Target,aesthetics clinic in Leeds,,To do,,
Aesthetics / skin clinics,Leicester,New,Target,aesthetics clinic in Leicester,,To do,,
Aesthetics / skin clinics,Luton,New,Target,aesthetics clinic in Luton,,To do,,
Aesthetics / skin clinics,Manchester,New,Target,aesthetics clinic in Manchester,,To do,,
Aesthetics / skin clinics,Nottingham,New,Target,aesthetics clinic in Nottingham,,To do,,
Aesthetics / skin clinics,Peckham,New,Target,aesthetics clinic in Peckham,,To do,,
Aesthetics / skin clinics,Sheffield,New,Target,aesthetics clinic in Sheffield,,To do,,
Aesthetics / skin clinics,Slough,New,Target,aesthetics clinic in Slough,,To do,,
Aesthetics / skin clinics,Wolverhampton,New,Target,aesthetics clinic in Wolverhampton,,To do,,
Barbers,Bradford,New,Target,barber in Bradford,,To do,,
Barbers,Bristol,New,Target,barber in Bristol,,To do,,
Barbers,Coventry,New,Target,barber in Coventry,,To do,,
Barbers,Croydon,New,Target,barber in Croydon,,To do,,
Barbers,Derby,New,Target,barber in Derby,,To do,,
Barbers,Enfield,New,Target,barber in Enfield,,To do,,
Barbers,Harrow,New,Target,barber in Harrow,,To do,,
Barbers,Leeds,New,Target,barber in Leeds,,To do,,
Barbers,Leicester,New,Target,barber in Leicester,,To do,,
Barbers,Luton,New,Target,barber in Luton,,To do,,
Barbers,Manchester,New,Target,barber in Manchester,,To do,,
Barbers,Nottingham,New,Target,barber in Nottingham,,To do,,
Barbers,Peckham,New,Target,barber in Peckham,,To do,,
Barbers,Sheffield,New,Target,barber in Sheffield,,To do,,
Barbers,Slough,New,Target,barber in Slough,,To do,,
Barbers,Wolverhampton,New,Target,barber in Wolverhampton,,To do,,
Beauty salons,Bradford,New,Target,beauty salon in Bradford,,To do,,
Beauty salons,Bristol,New,Target,beauty salon in Bristol,,To do,,
Beauty salons,Coventry,New,Target,beauty salon in Coventry,,To do,,
Beauty salons,Croydon,New,Target,beauty salon in Croydon,,To do,,
Beauty salons,Derby,New,Target,beauty salon in Derby,,To do,,
Beauty salons,Enfield,New,Target,beauty salon in Enfield,,To do,,
Beauty salons,Harrow,New,Target,beauty salon in Harrow,,To do,,
Beauty salons,Leeds,New,Target,beauty salon in Leeds,,To do,,
Beauty salons,Leicester,New,Target,beauty salon in Leicester,,To do,,
Beauty salons,Luton,New,Target,beauty salon in Luton,,To do,,
Beauty salons,Manchester,New,Target,beauty salon in Manchester,,To do,,
Beauty salons,Nottingham,New,Target,beauty salon in Nottingham,,To do,,
Beauty salons,Peckham,New,Target,beauty salon in Peckham,,To do,,
Beauty salons,Sheffield,New,Target,beauty salon in Sheffield,,To do,,
Beauty salons,Slough,New,Target,beauty salon in Slough,,To do,,
Beauty salons,Wolverhampton,New,Target,beauty salon in Wolverhampton,,To do,,
Hair salons,Bradford,New,Target,hair salon in Bradford,,To do,,
Hair salons,Bristol,New,Target,hair salon in Bristol,,To do,,
Hair salons,Coventry,New,Target,hair salon in Coventry,,To do,,
Hair salons,Croydon,New,Target,hair salon in Croydon,,To do,,
Hair salons,Derby,New,Target,hair salon in Derby,,To do,,
Hair salons,Enfield,New,Target,hair salon in Enfield,,To do,,
Hair salons,Harrow,New,Target,hair salon in Harrow,,To do,,
Hair salons,Leeds,New,Target,hair salon in Leeds,,To do,,
Hair salons,Leicester,New,Target,hair salon in Leicester,,To do,,
Hair salons,Luton,New,Target,hair salon in Luton,,To do,,
Hair salons,Manchester,New,Target,hair salon in Manchester,,To do,,
Hair salons,Nottingham,New,Target,hair salon in Nottingham,,To do,,
Hair salons,Peckham,New,Target,hair salon in Peckham,,To do,,
Hair salons,Sheffield,New,Target,hair salon in Sheffield,,To do,,
Hair salons,Slough,New,Target,hair salon in Slough,,To do,,
Hair salons,Wolverhampton,New,Target,hair salon in Wolverhampton,,To do,,
Holistic / massage / therapy,Bradford,New,Target,massage therapist in Bradford,,To do,,
Holistic / massage / therapy,Bristol,New,Target,massage therapist in Bristol,,To do,,
Holistic / massage / therapy,Coventry,New,Target,massage therapist in Coventry,,To do,,
Holistic / massage / therapy,Croydon,New,Target,massage therapist in Croydon,,To do,,
Holistic / massage / therapy,Derby,New,Target,massage therapist in Derby,,To do,,
Holistic / massage / therapy,Enfield,New,Target,massage therapist in Enfield,,To do,,
Holistic / massage / therapy,Harrow,New,Target,massage therapist in Harrow,,To do,,
Holistic / massage / therapy,Leeds,New,Target,massage therapist in Leeds,,To do,,
Holistic / massage / therapy,Leicester,New,Target,massage therapist in Leicester,,To do,,
Holistic / massage / therapy,Luton,New,Target,massage therapist in Luton,,To do,,
Holistic / massage / therapy,Manchester,New,Target,massage therapist in Manchester,,To do,,
Holistic / massage / therapy,Nottingham,New,Target,massage therapist in Nottingham,,To do,,
Holistic / massage / therapy,Peckham,New,Target,massage therapist in Peckham,,To do,,
Holistic / massage / therapy,Sheffield,New,Target,massage therapist in Sheffield,,To do,,
Holistic / massage / therapy,Slough,New,Target,massage therapist in Slough,,To do,,
Holistic / massage / therapy,Wolverhampton,New,Target,massage therapist in Wolverhampton,,To do,,
Lashes & brows,Bradford,New,Target,eyelash technician in Bradford,,To do,,
Lashes & brows,Bristol,New,Target,eyelash technician in Bristol,,To do,,
Lashes & brows,Coventry,New,Target,eyelash technician in Coventry,,To do,,
Lashes & brows,Croydon,New,Target,eyelash technician in Croydon,,To do,,
Lashes & brows,Derby,New,Target,eyelash technician in Derby,,To do,,
Lashes & brows,Enfield,New,Target,eyelash technician in Enfield,,To do,,
Lashes & brows,Harrow,New,Target,eyelash technician in Harrow,,To do,,
Lashes & brows,Leeds,New,Target,eyelash technician in Leeds,,To do,,
Lashes & brows,Leicester,New,Target,eyelash technician in Leicester,,To do,,
Lashes & brows,Luton,New,Target,eyelash technician in Luton,,To do,,
Lashes & brows,Manchester,New,Target,eyelash technician in Manchester,,To do,,
Lashes & brows,Nottingham,New,Target,eyelash technician in Nottingham,,To do,,
Lashes & brows,Peckham,New,Target,eyelash technician in Peckham,,To do,,
Lashes & brows,Sheffield,New,Target,eyelash technician in Sheffield,,To do,,
Lashes & brows,Slough,New,Target,eyelash technician in Slough,,To do,,
Lashes & brows,Wolverhampton,New,Target,eyelash technician in Wolverhampton,,To do,,
Nail bars,Bradford,New,Target,nail salon in Bradford,,To do,,
Nail bars,Bristol,New,Target,nail salon in Bristol,,To do,,
Nail bars,Coventry,New,Target,nail salon in Coventry,,To do,,
Nail bars,Croydon,New,Target,nail salon in Croydon,,To do,,
Nail bars,Derby,New,Target,nail salon in Derby,,To do,,
Nail bars,Enfield,New,Target,nail salon in Enfield,,To do,,
Nail bars,Harrow,New,Target,nail salon in Harrow,,To do,,
Nail bars,Leeds,New,Target,nail salon in Leeds,,To do,,
Nail bars,Leicester,New,Target,nail salon in Leicester,,To do,,
Nail bars,Luton,New,Target,nail salon in Luton,,To do,,
Nail bars,Manchester,New,Target,nail salon in Manchester,,To do,,
Nail bars,Nottingham,New,Target,nail salon in Nottingham,,To do,,
Nail bars,Peckham,New,Target,nail salon in Peckham,,To do,,
Nail bars,Sheffield,New,Target,nail salon in Sheffield,,To do,,
Nail bars,Slough,New,Target,nail salon in Slough,,To do,,
