Brand,Website,Country,Category,Active Meta ads,Video ads,New ads last 30d,Other paid channels,SKUs,Employees,Monthly visits,Amazon reviews (hero),Shopify Plus,Growth signals,Pays for creative,Creative gap,Video sourcing,Trigger event,DM name,DM title,DM LinkedIn,DM active 90d,2nd contact + email,Gatekeeper,Disqualified reason,Creative style,Suggested product (deep link),Product photo check,A Need /40,B Afford /25,C Fit /20,D Access /15,SCORE,Tier,PRIORITY,Priority Number
Thesis,takethesis.com,US,Nootropics,180,50,12,1,6,40,,,,1,N,4,Unknown,N,Dan Freed,Co-founder & CEO,linkedin.com/company/takethesis,Y,N,N,,Mixed,https://takethesis.com/products/clarity,Pass (3),32,10,4,11,57,B,Possible,3
beam,shopbeam.com,US,Gut/wellness powders,43,10,8,1,15,30,,,,1,Y,4,UGC creators,Y,Matt Lombardi,Co-founder,linkedin.com/in/matt-lombardi-1595494b,Y,N,N,,Mixed,https://shopbeam.com/products/mixed-berry-biotic-5-pack,Pass (7),34,15,16,11,76,A,Must target,1
BUBS Naturals,bubsnaturals.com,US,Collagen,65,40,0,1,10,25,,,,0,Y,4,UGC creators,N,Sean Lake,Co-founder & CEO,linkedin.com/in/sean-lake-4578596,Y,N,N,,Video-led,https://bubsnaturals.com/products/collagen-peptides,Pass (3),31,13,10,11,65,B,Strong,2
Vitauthority,vitauthority.com,US,Collagen/multi,210,20,10,1,30,20,,,,0,N,8,Unknown,N,Michael Rutigliano Jr,Verify role,linkedin.com/company/vitauthority,N,N,N,,Static,https://vitauthority.com/products/mcb-pdp-offer,Weak pass (2 clean),30,8,8,7,53,Park,Later,4
Obvi,myobvi.com,US,Collagen/weight,70,10,5,2,25,30,,,,2,N,8,In-house,Y,Ronak Shah,Co-founder & CEO,linkedin.com/in/ronak06,Y,N,N,,Static,https://myobvi.com/products/obvi-collagenic-fat-burner,"Pass (3, same angle)",29,12,14,11,66,B,Strong,2
Black Girl Vitamins,blackgirlvitamins.co,US,Multivitamins,580,150,5,1,12,25,,,,1,Y,4,UGC creators,N,Verify founder,Founder/CEO,linkedin.com/company/black-girl-vitamins,N,N,N,,Video-led,https://blackgirlvitamins.co/products/meno-chill,Pass (4),31,15,10,7,63,B,Possible,3
Codeage,codeage.com,US,Longevity/multi,35,15,0,2,100,40,,,,0,N,4,In-house,N,Augustin Quancard,Founder,linkedin.com/in/augustinquancard,N,N,N,,Static,https://www.codeage.com/products/liposomal-nmn-1000-capsule-supplement,Pass (3),29,8,4,7,48,Park,Later,4
GEM,dailygem.com,US,Real-food vitamin bites,16,0,3,0,6,20,,,,0,N,8,Unknown,Y,Sara Cullen,Founder & CEO,linkedin.com/in/cullensara,Y,N,N,,Static,https://dailygem.com/products/gem-daily-bite-28-count-pouch,Pass (5),17,8,14,11,50,Park,Later,4
Needed,thisisneeded.com,US,Prenatal/fertility,260,30,0,1,30,60,,,,1,N,8,In-house,N,Julie Sawaya,Co-founder & Co-CEO,linkedin.com/in/julie-sawaya-47a78a12,Y,N,N,,Static,https://thisisneeded.com/products/prenatal-vitamins-iron-dha,"Pass (3, same angle)",23,7,8,11,49,Park,Later,4
Kion,getkion.com,US,Aminos/EAA,47,5,0,1,12,25,,,,0,N,8,In-house,N,Angelo Keely,Co-founder & CEO,linkedin.com/company/getkion,Y,N,N,,Static,https://getkion.com/products/aminos-creatine,"Pass (4, same angle)",23,8,8,11,50,Park,Later,4
Just Thrive,justthrivehealth.com,US,Probiotics,81,10,0,1,15,40,,,,0,N,8,In-house,N,Tina Anderson,Co-founder,linkedin.com/company/just-thrive,Y,N,N,,Static,https://justthrivehealth.com/products/probiotic-gummies,Weak pass (front/back),23,8,8,11,50,Park,Later,4
Primal Harvest,primalharvest.com,US,Collagen/multi,97,10,0,1,25,40,,,,1,N,8,In-house,Y,Hamish Edridge,CEO (new),linkedin.com/company/prime6brands,N,N,Y,,Static,https://primalharvest.com/products/primal-collagen,Pass (4),23,10,14,4,51,Park,Later,4
Creatine Gummy,creatinegummies.com,US,Creatine gummies,23,0,0,1,3,8,,,,1,N,8,Unknown,N,Not found,,,Not found,N,N,,Static,https://www.creatinegummies.com/products/creatine-gummies,Pass (3),16,7,8,3,34,Park,Unlikely,5
True Sea Moss,trueseamoss.com,US,Sea moss gel,960,500,0,2,15,30,,,,1,N,4,Unknown,N,Ivan Tsvilik,Founder,linkedin.com/in/ivantsvilik,N,N,N,,Video-led,https://trueseamoss.com/products/sea-moss-gel-superfood-surprise,Pass (4),33,10,4,7,54,Park,Later,4
Double Wood Supplements,doublewoodsupplements.com,US,Single-ingredient supplements,12,0,4,1,100,25,,,,0,N,8,In-house,N,Reese Wood,Co-founder,linkedin.com/in/reese-wood-36a51099,N,N,N,,Static,https://doublewoodsupplements.com/products/magnesium-glycinate-extra-strength,"Weak pass (3, same angle)",22,8,8,7,45,Park,Later,4
Legion Athletics,legionathletics.com,US,Sports nutrition,370,30,0,2,40,60,,,,0,N,8,In-house,N,Mike Matthews,Founder,linkedin.com/company/legion-athletics,Y,N,N,,Static,https://legionathletics.com/products/supplements/whey-protein-powder/,FAIL / unverified (1),25,5,8,11,49,Park,Later,4
Perelel,perelelhealth.com,US,Prenatal,410,40,0,1,20,50,,,,1,N,8,In-house,N,Alex Taylor,Co-founder & CEO,linkedin.com/company/perelel,Y,N,N,,Static,https://perelelhealth.com/products/essential-1st-trimester-prenatal-vitamin-bundle,FAIL (1),23,10,8,11,52,Park,Later,4
Arrae,arrae.com,US,Gut/metabolic gummies,980,700,40,2,12,60,,,,2,Y,4,UGC creators,Y,Siffat Haider,Co-founder,linkedin.com/company/arrae,Y,N,N,,Video-led,https://arrae.com/products/mb-1-max,Pass (5),40,14,16,11,81,A,Must target,1
NativePath,nativepath.com,US,Collagen/DR,730,100,0,2,30,80,,,,0,N,8,In-house,N,Chad Walding,Co-founder,linkedin.com/company/nativepath,N,N,N,,Static,https://www.nativepath.com/products/grass-fed-colostrum,Pass (4),25,5,8,7,45,Park,Later,4
Wonderbelly,wonderbelly.com,US,Antacid (OTC),20,15,3,1,6,20,,,,0,Y,4,UGC creators,N,Lucas Kraft,Founder,linkedin.com/in/lucas-kraft,Y,N,Y,Acquired by P&G (holding company),,,,28,13,10,8,0,Disqualified,Skip,6
Gruns,gruns.co,US,Greens gummies,1900,1500,20,2,5,120,,,,3,Y,0,UGC creators,Y,,,,Not found,N,N,"Too large (est. 100+ staff, heavily funded, polished in-house creative machine)",,,,38,10,12,3,0,Disqualified,Skip,6
Truvani,truvani.com,US,Protein/organic,1200,400,10,2,30,80,,,,0,Y,4,UGC creators,N,,,,Not found,N,N,Likely too large; verify size before outreach,,,,36,10,10,3,0,Disqualified,Skip,6
Naked Nutrition,nakednutrition.com,US,Protein/creatine,770,200,0,2,60,60,,,,0,N,4,In-house,N,,,,Not found,N,N,Likely too large; verify size before outreach,,,,29,5,4,3,0,Disqualified,Skip,6
Vitafive,vitafive.com,US,Gummies,0,0,0,0,10,10,,,,0,N,0,Unknown,N,,,,Not found,N,N,No Meta ads in last 90 days,,,,5,5,0,3,0,Disqualified,Skip,6
